Student ID,Full Name,Gender,Gmail,Program,Year Level,University
BP-113-00001,Chelsea Greer,Female,chelseagreer@gmail.com,BS Physics,5th Year,Caraga State University - Cabadbaran Campus
BM-113-00002,Nicolas Medina,Male,nicolasmedina@gmail.com,BS Mathematics,5th Year,Caraga State University - Main Campus
BM-113-00003,Maureen Palmer,Female,maureenpalmer@gmail.com,BS Mathematics,4th Year,Caraga State University - Cabadbaran Campus
BG-113-00004,Patrick Bailey,Male,patrickbailey@gmail.com,BS Geolody,6th Year,Caraga State University - Main Campus
BCE-113-00005,Bradley Hancock,Male,bradleyhancock@gmail.com,BS Civil Engineering,2nd Year,Caraga State University - Main Campus
BA-113-00006,Michelle Sanders,Female,michellesanders@gmail.com,BS Accountancy,5th Year,Caraga State University - Main Campus
BCS-113-00007,Lawrence Miller,Male,lawrencemiller@gmail.com,BS Computer Science,1st Year,Caraga State University - Main Campus
BF-113-00008,Amanda Park,Female,amandapark@gmail.com,BS Forestry,6th Year,Caraga State University - Main Campus
BEE-113-00009,Casey Coleman,Male,caseycoleman@gmail.com,BS Electrical Engineering,6th Year,Caraga State University - Cabadbaran Campus
BP-113-00010,Dana Russell,Female,danarussell@gmail.com,BS Psychology,2nd Year,Caraga State University - Main Campus
BA-113-00011,Rachel Ward,Female,rachelward@gmail.com,BS Accountancy,6th Year,Caraga State University - Main Campus
BP-113-00012,Dr. James Gomez,Male,dr.jamesgomez@gmail.com,BS Physics,5th Year,Caraga State University - Cabadbaran Campus
BC-113-00013,Joel Collins,Male,joelcollins@gmail.com,BS Chemistry,6th Year,Caraga State University - Cabadbaran Campus
BB-113-00014,Sarah Vargas,Female,sarahvargas@gmail.com,BS Biology,4th Year,Caraga State University - Cabadbaran Campus
BCE-113-00015,Jennifer Rodriguez PhD,Female,jenniferrodriguezphd@gmail.com,BS Civil Engineering,1st Year,Caraga State University - Cabadbaran Campus
BIS-113-00016,Christopher Hall,Male,christopherhall@gmail.com,BS Information Systems,1st Year,Caraga State University - Main Campus
BP-113-00017,Michael Lynch,Male,michaellynch@gmail.com,BS Physics,3rd Year,Caraga State University - Main Campus
BP-113-00018,Joel Campbell,Male,joelcampbell@gmail.com,BS Psychology,5th Year,Caraga State University - Main Campus
BCE-113-00019,Thomas Sanchez,Male,thomassanchez@gmail.com,BS Civil Engineering,5th Year,Caraga State University - Main Campus
BTM-113-00020,Ashley Farrell,Female,ashleyfarrell@gmail.com,BS Tourism Management,2nd Year,Caraga State University - Main Campus
BIS-113-00021,Jennifer Francis,Female,jenniferfrancis@gmail.com,BS Information Systems,4th Year,Caraga State University - Cabadbaran Campus
BF-113-00022,Molly Mathews,Female,mollymathews@gmail.com,BS Forestry,6th Year,Caraga State University - Cabadbaran Campus
BB-113-00023,Elizabeth Allen,Female,elizabethallen@gmail.com,BS Biology,5th Year,Caraga State University - Cabadbaran Campus
BP-113-00024,Christina Kline,Female,christinakline@gmail.com,BS Physics,3rd Year,Caraga State University - Cabadbaran Campus
BP-113-00025,Mark Reynolds,Male,markreynolds@gmail.com,BS Psychology,6th Year,Caraga State University - Cabadbaran Campus
